"T2010","TCRE","cumuCO2result","costs.slope"
"1",0.146122944444199,0.0253799952281136,-0.149843850736374,-0.991023537514592
"1.1",0.152189379600051,0.0453284256558505,-0.160421785918384,-0.989564362325155
"1.2",0.158782076459255,0.0672531852483439,-0.174108768952819,-0.98742437485826
"1.3",0.165957794507108,0.0914198148715034,-0.191166067081498,-0.984412031484672
"1.4",0.173777391089777,0.118131879938429,-0.211845907660781,-0.980279450684533
"1.5",0.182304154536577,0.147733424334766,-0.236407990467795,-0.974704922368591
"1.6",0.191600581027513,0.180608781813074,-0.265134721802641,-0.967270211208239
"1.7",0.201722671594195,0.217177237497397,-0.298337836300663,-0.957431681624282
"1.8",0.212710399270617,0.25787843322347,-0.336350351055146,-0.944484818518974
"1.9",0.224572492029381,0.303142114465581,-0.379497702636176,-0.927523276327546
"2",0.237263254274808,0.353332913256028,-0.428039851086607,-0.905397101690912
"2.1",0.25064925234509,0.408658141254239,-0.482073506089375,-0.876681645069132
"2.2",0.264465284394042,0.469026451189554,-0.541383620458019,-0.839680379546937
"2.3",0.278263800974057,0.533853056969425,-0.605241781370035,-0.792501232157897
"2.4",0.29137171002243,0.601831607479372,-0.672174953725528,-0.733261075769755
"2.5",0.302883004021057,0.670741063018577,-0.739778026640742,-0.660468278721571
"2.6",0.311727339816498,0.737418247530601,-0.80470623877339,-0.573576565992026
"2.7",0.316844852161951,0.798053098802339,-0.863005694232501,-0.473573378656275
"2.8",0.317446830999462,0.848870334080952,-0.910836597619342,-0.363312937302097
"2.9",0.31326461343093,0.887023421480055,-0.945395071876167,-0.247286069515579
"3",0.30465317193227,0.911300484394104,-0.965613866004711,-0.130771704883292
"3.1",0.292483224600928,0.922281018364814,-0.972279410321725,-0.0187095482285787
"3.2",0.277884592747806,0.92191416747544,-0.967555919039222,0.0851901363649036
"3.3",0.261976733378994,0.912814271424334,-0.954237409007328,0.178791268750481
"3.4",0.245689354038387,0.897622308411602,-0.93508891810336,0.261379045140737
"3.5",0.229695599589749,0.878613945373459,-0.912454995561615,0.333255500085468
"3.6",0.21442553655301,0.857552837123115,-0.888124552691948,0.395312003237767
"3.7",0.200116546536162,0.835703382153928,-0.863357804371584,0.448696510653191
"3.8",0.186869964984716,0.813916018492434,-0.838983780897213,0.494599571638682
"3.9",0.174699260608257,0.792728701793538,-0.815510630267627,0.534137507112905
"4",0.163565735811013,0.772457546458042,-0.793221927729278,0.568300674673381
